"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"001140","1","18 UNIT CONDO","1","5","18","1086","545","4","3","0","4","6","3","2005","2005","100","Y","Y","Y","2","N","1","200       W  COMSTOCK                  ST      98119","200  ","   ","W ","COMSTOCK                 ","ST  ","  ","98119"
"005450","1","Flats","2","4","16","1140","898","3","3","0","4","6","4","1992","2004","100","Y","Y","Y","2","N","1","2125         CALIFORNIA                AVE  SW 98116","2125 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"008600","4","75 Unit Condo","1","7","75","691","0","3","3","15","4","4","3","2002","2002","100","Y","Y","N","2","Y","1","668       S  LANE                      ST      98104","668  ","   ","S ","LANE                     ","ST  ","  ","98104"
"009840","1","129 Unit Townhomes","44","3","129","2029","2859","3","3","0","4","5","3","2019","2019","100","N","N","Y","2","N","1","13598        NEWCASTLE COMMONS         DR      ","13598","   ","  ","NEWCASTLE COMMONS        ","DR  ","  ",""
"010320","1","4 UNIT CONDO","2","2","4","1580","3175","4","3","0","4","5","3","1998","1998","100","N","N"," ","2","N","1","441       NE ALDER                     ST      98027","441  ","   ","NE","ALDER                    ","ST  ","  ","98027"
"012780","3"," Warehouse","1","1","6","2520","7478","3","3","0","3","4","3","2006","2006","100"," "," "," ","0"," ","1","901          ALGONA                    BLVD N  98001","901  ","   ","  ","ALGONA                   ","BLVD","N ","98001"
"012930","1","4 FLAT UNITS","1","2","4","976","1920","3","3","0","4","5","3","1980","2005","100","N","N","N","2","Y","1","8614         26TH                      AVE  SW 98106","8614 ","   ","  ","26TH                     ","AVE ","SW","98106"
"013905","1","3 UNITS","1","3","3","1567","2818","4","4","0","4","6","3","1998","1998","100","N","Y","Y","2","Y","1","3830         59TH                      AVE  SW 98116","3830 ","   ","  ","59TH                     ","AVE ","SW","98116"
"015610","1","Townhouses","1","3","2","2365","4312","5","4","0","4","6","4","1983","2001","100","N","Y","Y","2","Y","1","3089         ALKI                      AVE  SW 98116","3089 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"015650","1","3 FLAT UNITS","1","3","3","1395","1849","5","4","0","4","6","5","1966","1996","100","N","N","Y","2","Y","1","3085         ALKI                      AVE  SW 98116","3085 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"019243","1","Alphabet Ridge 2020 - 2 Det'd SF","2","3","2","2359","2750","4","4","0","4","6","3","2022","2022","100","N","N","Y","2","N","1","605          4TH                       ST      98033","605  ","   ","  ","4TH                      ","ST  ","  ","98033"
"019325","1","FLATS","1","5","27","717","445","3","3","0","4","5","4","1967","1977","100","Y","Y","N","1","Y","1","308          SUMMIT                    AVE  E  98102","308  ","   ","  ","SUMMIT                   ","AVE ","E ","98102"
"019370","1","DET SFR CONDO UNITS","8","2","8","2726","7500","3","3","0","4","5","3","2013","2013","100","N","N","Y","2","N","1","2100      NE 177TH                     ST      E 98155","2100 ","   ","NE","177TH                    ","ST  ","  ","E 98155"
"019380","1","Townhouses, in Phases","17","3","80","1818","11853","3","3","0","4","5","3","2008","2008","100","N","N","Y","2","N","1","4276         213TH                     PL   SE 98029","4276 ","   ","  ","213TH                    ","PL  ","SE","98029"
"020006","4","FLATS, PARKING & CML","2","5","67","667","271","3","3","0","4","4","4","1992","1992","100","Y","Y","Y","2","N","1","506       E  HOWELL                    ST      98122","506  ","   ","E ","HOWELL                   ","ST  ","  ","98122"
"020021","1","FLATS","3","3","56","855","1786","3","3","0","4","4","4","1981","1996","100","N","N","Y","2","N","1","17430        AMBAUM                    BLVD S  98148","17430","   ","  ","AMBAUM                   ","BLVD","S ","98148"
"020260","1","TOWNHOUSES","2","3","13","1124","2071","4","3","50","4","5","4","1982","1995","100","N","N","Y","2","N","1","3940      S  AMERICUS                  ST      98118","3940 ","   ","S ","AMERICUS                 ","ST  ","  ","98118"
"022785","3","","1","3","41","661","0","3","3","0","4","4","3","2012","2012","0","Y","Y"," ","0"," ","0","4228         FACTORIA                  BLVD SE 98006","4228 ","   ","  ","FACTORIA                 ","BLVD","SE","98006"
"023250","10","Det SFR + 2 ADUs","1","2","3","2280","1666","3","3","0","4","4","3","2019","2019","100","N","N","Y","2","N","1","3815      S  ANGEL                     PL      ","3815 ","   ","S ","ANGEL                    ","PL  ","  ",""
"023580","3","","0","0","0","1","0","0","0","0","0","0","0","0","0","0"," "," "," ","0"," ","0","","     ","   ","","                         ","","",""
"025136","1","FLATS","2","4","42","1121","2238","3","3","0","4","5","3","2007","2007","100","Y","Y","Y","2","N","1","6800         132ND                     PL   SE 98059","6800 ","   ","  ","132ND                    ","PL  ","SE","98059"
"025305","3"," ","0","1","3","5312","0","0","0","0","4","4","3","1980","1985","0"," "," "," ","0"," ","0","29418        PACIFIC                   HWY  S  98003","29418","   ","  ","PACIFIC                  ","HWY ","S ","98003"
"025321","1","41 UNIT CONDO","1","4","41","642","293","2","3","20","4","4","4","1988","2007","100","Y","Y"," ","2","Y","1","3045         20TH                      AVE  W  98199","3045 ","   ","  ","20TH                     ","AVE ","W ","98199"
"025440","1","10 UNIT CONDO","4","3","10","1148","1689","3","4","0","4","6","4","1991","2005","100","N","N","Y","2","N","1","12506        26TH                      AVE  NE 98125","12506","   ","  ","26TH                     ","AVE ","NE","98125"
"025480","1","159 UNIT CONDO","1","26","157","885","132","3","3","0","1","6","4","1989","1989","100","Y","Y","N","2","Y","1","121          VINE                      ST       98121","121  ","   ","  ","VINE                     ","ST  ","  "," 98121"
"025533","1"," FLATS","2","3","25","747","708","3","3","0","4","4","3","1991","2006","100","Y","Y","Y","2","Y","1","2512      E  MADISON                   ST      98112","2512 ","   ","E ","MADISON                  ","ST  ","  ","98112"
"029005","4","5 RES CONDO UNITS + 1 COML","1","7","5","3621","954","3","4","60","2","7","3","2010","2010","100","Y","Y"," ","2","N","1","516          YALE                      AVE  N  ","516  ","   ","  ","YALE                     ","AVE ","N ",""
"029311","1","TOWNHOUSES","19","2","59","1368","12970","4","3","0","4","4","3","1996","1996","100","N","N","Y","2","N","1","9309         177TH                     PL   NE 98052","9309 ","   ","  ","177TH                    ","PL  ","NE","98052"
"001260","1","8 Unit Condo","4","2","8","1700","4607","3","3","0","4","4","3","2006","2006","100","N","N","Y","2","N","1","2019      NE 9TH                       CT      98056","2019 ","   ","NE","9TH                      ","CT  ","  ","98056"
"002300","1"," Flats","1","3","7","2287","1832","4","4","0","4","7","3","2010","2010","100","Y","Y","Y","2","N","1","302          5TH                       AVE     ","302  ","   ","  ","5TH                      ","AVE ","  ",""
"002470","3"," ","1","1","2","28222","0","0","0","0","3","4","3","2002","2002","100"," "," "," ","0"," ","0","7412      S  262ND                     ST      98032","7412 ","   ","S ","262ND                    ","ST  ","  ","98032"
"005040","4","1 TH + 68 Flats + 2 Comm'l Units","1","6","69","1006","429","3","4","20","4","5","3","2003","2007","100","Y","Y","Y","2","N","1","5001         CALIFORNIA                AVE  SW 98136","5001 ","   ","  ","CALIFORNIA               ","AVE ","SW","98136"
"005510","1","Flats & Townhouses","2","2","6","1005","1249","3","3","0","4","5","4","1997","2006","100","N","N","Y","2","N","1","2110         CALIFORNIA                AVE  SW 98116","2110 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"012500","1","Flats","1","5","79","627","182","3","3","0","4","4","4","1991","1991","100","Y","Y","Y","2","N","1","3028         WESTERN                   AVE     98121","3028 ","   ","  ","WESTERN                  ","AVE ","  ","98121"
"013150","1","FLATS","1","5","16","1243","625","4","3","0","4","5","4","1978","1988","100","Y","Y","Y","2","N","1","1101         HARBOR                    AVE  SW 98116","1101 ","   ","  ","HARBOR                   ","AVE ","SW","98116"
"013450","1","4 Bldg, Nine unit Condo","4","2","9","1207","1328","3","3","0","4","4","3","2006","2006","100","N","Y","N","2","N","1","103       SW 119TH                     ST      98146","103  ","   ","SW","119TH                    ","ST  ","  ","98146"
"013555","1","Det SFRs","3","1","3","670","2288","4","3","0","4","3","3","1919","1985","100","N","N","N","2","N","1","3628         61ST                      AVE  SW ","3628 ","   ","  ","61ST                     ","AVE ","SW",""
"013910","1","20 UNITS, FLATS","1","5","20","1576","859","4","4","0","4","6","3","1995","1995","100","Y","Y","Y","2","N","1","1388         ALKI                      AVE  SW 98116","1388 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"013952","1","3 Det SFR and 1 Garage","4","1","3","1081","1475","3","3","0","4","4","4","1932","1985","100","N","N","N","2","N","1","3244         63RD                      AVE  SW ","3244 ","   ","  ","63RD                     ","AVE ","SW",""
"013953","1","1 Det SFR and 2 flats","2","2","3","2863","1967","3","3","0","4","4","4","1914","1980","100","N","N","N","2","N","1","3240         63RD                      AVE  SW ","3240 ","   ","  ","63RD                     ","AVE ","SW",""
"014700","1","TOWNHOUSES","1","3","4","1714","1847","3","3","0","4","5","4","1988","1997","100","N","N","Y","2","Y","1","3018         62ND                      AVE  SW 98116","3018 ","   ","  ","62ND                     ","AVE ","SW","98116"
"015600","1","28 Res Units + 30 Parking Units","2","4","28","1267","1107","4","4","0","4","4","5","1973","1986","100","Y","Y","Y","2","N","1","2104         ALKI                      AVE  SW 98116","2104 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"015700","1","TOWNHOUSES","1","3","5","2079","1936","4","4","0","4","5","4","1988","1997","100","N","N","Y","2","Y","1","3020         64TH                      AVE  SW 98116","3020 ","   ","  ","64TH                     ","AVE ","SW","98116"
"015900","1","FLATS","1","3","6","618","800","4","3","0","4","5","4","1985","1995","100","N","N","Y","2","N","1","3049         60TH                      AVE  SW 98116","3049 ","   ","  ","60TH                     ","AVE ","SW","98116"
"019220","1","FLATS","3","2","58","475","656","4","3","0","4","4","4","1972","1972","100","N","N","N","1","N","2","74           ERSTE                     STR     98068","74   ","   ","  ","ERSTE                    ","STR ","  ","98068"
"019241","1","8 UNIT CONDO","4","2","8","1692","3488","4","3","0","4","6","4","1980","1980","100","N","N","Y","2","N","1","826          LAKE                      ST   S  ","826  ","   ","  ","LAKE                     ","ST  ","S ",""
"019550","4","2bldgs-2comml 60res units","2","6","62","1074","596","2","3","0","4","4","3","1999","2000","100","Y","Y","Y","2","N","1","1000         AURORA                    AVE  N  98109","1000 ","   ","  ","AURORA                   ","AVE ","N ","98109"
"020005","4"," RES FLATS & 1 CML","1","6","49","620","140","3","3","0","3","4","4","1923","1987","100","Y","Y","N","1","Y","1","505       E  DENNY                     WAY     98122","505  ","   ","E ","DENNY                    ","WAY ","  ","98122"
"022250","1","28 UNIT CONDO","1","5","28","620","343","3","3","0","4","4","4","1996","2007","100","Y","Y","N","2","Y","1","626          4TH                       AVE  W  98119","626  ","   ","  ","4TH                      ","AVE ","W ","98119"
"022780","1","16 flat units","1","3","16","743","937","3","3","0","4","4","4","1990","1990","100","N","Y","Y","2","N","1","124       SW 154TH                     ST      98166","124  ","   ","SW","154TH                    ","ST  ","  ","98166"
"022850","1","Townhouse","1","2","2","2192","3267","4","4","0","4","4","3","2006","2006","100","N","N","Y","2","N","1","470       SE ANDREWS                   ST      98027","470  ","   ","SE","ANDREWS                  ","ST  ","  ","98027"
"024170","5"," ","1","4","56","867","455","4","4","10","2","6","3","2008","2012","100","Y","Y","Y","2","N","1","110          6TH                       AVE  N  ","110  ","   ","  ","6TH                      ","AVE ","N ",""
"024220","2","20 UNIT CONDO","1","3","20","791","769","3","3","15","4","4","4","1965","1995","100","N","Y"," ","2","Y","1","1727         14TH                      AVE     98122","1727 ","   ","  ","14TH                     ","AVE ","  ","98122"
"024630","5","1 COM'L UNIT & 1 APT UNIT","1","3","47","216","142","3","2","0","3","4","0","1909","1975","100","N","Y","N","1","Y","0","2225         1ST                       AVE     98121","2225 ","   ","  ","1ST                      ","AVE ","  ","98121"
"024770","1","21 FLAT UNITS","1","4","21","708","970","3","3","0","4","5","5","1957","1988","100","N","Y","N","2","Y","1","330       W  OLYMPIC                   PL      98119","330  ","   ","W ","OLYMPIC                  ","PL  ","  ","98119"
"025138","1","Flats","2","4","13","754","463","3","3","0","4","4","4","1968","1981","100","Y","Y","Y","1","Y","1","601          14TH                      AVE  E  98112","601  ","   ","  ","14TH                     ","AVE ","E ","98112"
"002450","1","CONDO 33 UNITS","1","3","33","1189","1503","3","3","0","4","4","4","1979","1979","100","N","Y","Y","2","N","1","22700        28TH                      AVE  S  98198","22700","   ","  ","28TH                     ","AVE ","S ","98198"
"005085","1","Townhouses","2","3","9","1484","1528","3","4","0","4","5","3","2003","2007","100","N","Y","Y","2","N","1","4321      SW HUDSON                    ST      98136","4321 ","   ","SW","HUDSON                   ","ST  ","  ","98136"
"005490","4","Flats + 1 Com'l Unit","1","4","18","706","487","3","3","0","4","4","4","1993","1998","100","Y","Y","Y","2","N","1","3435         CALIFORNIA                AVE  SW 98116","3435 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"005580","1","7 UNIT CONDO","3","3","7","1512","6224","4","3","0","4","5","3","1997","2006","100","N","N","Y","2","N","1","2325         HARBOR                    AVE  SW 98126","2325 ","   ","  ","HARBOR                   ","AVE ","SW","98126"
"006400","4","4 RES UNITS + 2 COM'L UNITS","3","3","6","1591","1329","3","3","0","4","6","3","2001","2001","100","N","N","Y","2","N","1","1821         10TH                      AVE  W  98119","1821 ","   ","  ","10TH                     ","AVE ","W ","98119"
"006970","1","Flats","6","3","36","1054","1820","2","3","0","4","4","3","2007","2007","100","N","N","Y","2","N","1","11312        124TH                     AVE  NE 98033","11312","   ","  ","124TH                    ","AVE ","NE","98033"
"008200","1","8Unit Condo","4","2","8","1130","15600","3","3","50","4","4","3","2000","2000","100","N","N","N","2","N","1","406          TAYLOR                    AVE  NW 98057","406  ","   ","  ","TAYLOR                   ","AVE ","NW","98057"
"009845","1","SFR+DADU","2","2","2","2275","44275","3","3","0","4","5","3","2024","2024","100","N","N","Y","2","N","1","10060        124TH                     AVE  NE 98033","10060","   ","  ","124TH                    ","AVE ","NE","98033"
"010360","1","4 UNIT CONDO","2","2","4","1465","3180","4","3","0","4","5","3","1995","1995","100","N","N","Y","2","N","1","567       NE ALDER                     ST      98027","567  ","   ","NE","ALDER                    ","ST  ","  ","98027"
"012060","1","30 FLAT UNITS","1","4","30","840","665","4","4","0","4","6","5","1926","1993","100","Y","Y","N","2","Y","1","2920         ALKI                      AVE  SW 98116","2920 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"012880","1","Duplex-style Flats","1","1","2","1199","8283","3","3","100","4","4","3","1988","1995","100","N","N","N","2","Y","1","322          2ND                       AVE  N  98001","322  ","   ","  ","2ND                      ","AVE ","N ","98001"
"013920","1","Townhouses","2","2","8","975","1780","4","3","0","4","6","5","1948","1992","100","N","N","Y","2","Y","1","2402         ALKI                      AVE  SW 98116","2402 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"013950","1","FLATS","1","4","24","1346","1347","4","4","0","4","5","5","1976","1993","100","Y","Y","Y","2","N","1","2200         ALKI                      AVE  SW 98116","2200 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"014300","1","3 UNITS","1","3","3","1833","2218","4","4","0","4","4","4","1983","1995","100","Y","Y","Y","2","Y","1","3030         64TH                      AVE  SW 98116","3030 ","   ","  ","64TH                     ","AVE ","SW","98116"
"015550","1","9 FLAT UNITS","2","3","9","1236","1390","5","4","0","4","6","4","1985","1998","100","Y","Y","Y","2","N","1","3051         ALKI                      AVE  SW 98116","3051 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"015910","1","2 TOWNHOUSE UNITS","1","2","2","1335","2360","3","3","0","4","5","4","1995","1997","100","N","N","N","2","N","1","3040         63RD                      AVE  SW 98116","3040 ","   ","  ","63RD                     ","AVE ","SW","98116"
"016220","1","24 FLAT UNITS + 2 PARKING UNITS","1","4","24","802","416","3","3","0","4","4","4","1987","1997","100","Y","Y","N","2","Y","1","800       N  ALLEN                     PL      98103","800  ","   ","N ","ALLEN                    ","PL  ","  ","98103"
"019430","4","65 Unit Condo","3","4","64","1036","2263","3","3","0","4","4","4","1981","2001","100","Y","Y","Y","2","Y","1","611       SW 5TH                       CT      98057","611  ","   ","SW","5TH                      ","CT  ","  ","98057"
"020010","1","9 UNIT CONDO","1","3","9","1073","1903","3","3","0","4","4","4","1991","1991","100","N","Y","Y","2","N","1","17404        AMBAUM                    BLVD S  98148","17404","   ","  ","AMBAUM                   ","BLVD","S ","98148"
"025105","1","FLATS & TOWNHOUSES","3","3","17","1036","2162","3","3","0","4","5","3","2001","2001","100","N","N","Y","2","N","1","8802         164TH                     AVE  NE 98052","8802 ","   ","  ","164TH                    ","AVE ","NE","98052"
"025135","1","30 UNIT CONDOMINIUM","6","2","30","1084","2450","1","3","0","4","4","3","1989","1989","100","N","N"," ","2","Y","1","701          5TH                       AVE  S  98032","701  ","   ","  ","5TH                      ","AVE ","S ","98032"
"025551","5","9 Res Units over retail/pkg","1","4","9","1401","0","3","3","33","4","6","3","2006","2012","100","Y","Y","N","2","N","0","17410        133RD                     AVE  NE 98072","17410","   ","  ","133RD                    ","AVE ","NE","98072"
"026090","1","5 UNIT CONDO","1","2","5","960","1759","3","3","100","4","4","4","1972","2000","100","N","N","N","2","Y","1","716       W  ARGAND                    ST      ","716  ","   ","W ","ARGAND                   ","ST  ","  ",""
"026290","5","","1","2","14","559","0","2","3","50","4","3","3","1986","1997","100","N","Y","N","1","N","1","539          23RD                      AVE  S  98144","539  ","   ","  ","23RD                     ","AVE ","S ","98144"
"026752","1","CONDOMINIUM 10 UNITS","1","4","10","998","815","3","3","0","4","5","4","1976","1976","100","Y","Y","Y","1","N","1","8000         28TH                      AVE  NW 98117","8000 ","   ","  ","28TH                     ","AVE ","NW","98117"
"028100","1","30 Unit Residential Condominium","1","4","30","1000","2608","3","3","0","4","4","3","2002","2002","100","Y","Y","Y","2","N","1","15000        JUANITA                   DR   NE 98028","15000","   ","  ","JUANITA                  ","DR  ","NE","98028"
"028330","1","94 UNIT CONDO","13","3","94","1116","3413","3","3","0","4","4","4","1980","1985","100","N","N","Y","2","N","1","12905     NE 126TH                     CT      98034","12905","   ","NE","126TH                    ","CT  ","  ","98034"
"029359","1","","1","0","3","1","0","1","0","0","4","4","3","0","0","0"," "," "," ","0"," ","0","             ASHWORTH                  AVE  N  98133","     ","   ","  ","ASHWORTH                 ","AVE ","N ","98133"
"029375","1","6 UNIT CONDO","1","2","6","1345","3448","3","3","0","4","5","3","1997","1997","100","N","N","Y","2","N","1","11210        SLATER                    AVE  NE 98033","11210","   ","  ","SLATER                   ","AVE ","NE","98033"
"029377","1","Townhomes","13","2","50","1350","3160","3","3","0","4","5","3","2003","2004","100","N","N","Y","2","N","1","35327     SE KINSEY                    ST      98065","35327","   ","SE","KINSEY                   ","ST  ","  ","98065"
"029395","4","71 RES UNITS + 2 COM'L UNITS","1","5","71","1279","649","4","4","0","2","7","3","2000","2000","100","Y","Y","Y","2","N","3","10047        MAIN                      ST      98004","10047","   ","  ","MAIN                     ","ST  ","  ","98004"
"030050","1","16 Unit Condo","8","2","16","1522","5077","2","4","0","4","5","4","2005","2005","100","N","Y","Y","2","N","1","1334         4TH                       ST   SE 98002","1334 ","   ","  ","4TH                      ","ST  ","SE","98002"
"030345","3"," ","1","4","11","6095","3612","3","3","0","1","6","0","1994","1994","100","Y","N"," ","0","N","0","202       N  DIVISION                  ST      98002","202  ","   ","N ","DIVISION                 ","ST  ","  ","98002"
"030507","1","Townhouse/Flats","6","4","41","2075","5222","3","3","0","4","6","3","2020","2020","100","N","N","N","2","N","1","23117     NE 8TH                       ST      98074","23117","   ","NE","8TH                      ","ST  ","  ","98074"
"030700","2","11 - UNIT CONDO","1","3","11","800","770","2","3","40","4","4","4","1977","2001","100","N","Y","Y","2","N","0","4710         AURORA                    AVE  N  98103","4710 ","   ","  ","AURORA                   ","AVE ","N ","98103"
"031835","1","FLATS & TOWNHOUSES","1","3","6","1037","1388","4","3","0","4","4","4","1991","1994","100","N","Y","Y","2","N","1","3828         BEACH                     DR   SW 98116","3828 ","   ","  ","BEACH                    ","DR  ","SW","98116"
"031860","1","FLATS","8","3","102","851","1732","3","3","0","4","4","3","1982","1995","100","N","N","Y","2","N","1","110       SW 116TH                     ST      98146","110  ","   ","SW","116TH                    ","ST  ","  ","98146"
"032105","1","Flats & Parking","1","4","16","912","600","3","3","0","4","4","4","1991","2004","100","Y","Y","Y","2","N","1","3271      SW AVALON                    WAY     98126","3271 ","   ","SW","AVALON                   ","WAY ","  ","98126"
"032155","1","DET SFR - 7 UNIT CONDO","7","3","7","3308","10230","3","3","0","4","5","3","2020","2020","100","N","N","Y","2","N","1","20309        8TH                       AVE  NW ","20309","   ","  ","8TH                      ","AVE ","NW",""
"032435","1","224 Unit High-rise","1","25","224","899","0","3","4","68","1","7","3","2024","2024","100","Y","Y","N","2","N","3","889          103RD                     AVE  NE 98004","889  ","   ","  ","103RD                    ","AVE ","NE","98004"
"033940","1","FLATS","5","2","20","937","7873","4","3","0","4","4","4","1983","1990","100","N","N","Y","2","N","1","17420     NE 88TH                      PL      98052","17420","   ","NE","88TH                     ","PL  ","  ","98052"
"034830","1","24 UNIT CONDO","2","4","24","1088","1392","3","3","0","4","4","4","1976","2001","100","N","N","Y","2","N","1","1900      N  NORTHGATE                 WAY     98133","1900 ","   ","N ","NORTHGATE                ","WAY ","  ","98133"
"045600","1","2007 APT CONVERSION","1","2","6","823","833","3","3","0","4","4","4","1986","2002","100","N","N","N","2","Y","1","1519      NW 59TH                      ST      98107","1519 ","   ","NW","59TH                     ","ST  ","  ","98107"
"045750","1","6 UNIT CONDO","1","3","6","963","833","3","3","0","4","4","4","1993","1993","100","Y","Y","Y","2","N","1","2419      NW 58TH                      ST      98107","2419 ","   ","NW","58TH                     ","ST  ","  ","98107"
"045900","1","13 UNIT CONDO","1","3","13","865","769","3","3","0","4","4","5","1968","2007","100","N","Y","N","2","Y","1","1422      NW 63RD                      ST      98107","1422 ","   ","NW","63RD                     ","ST  ","  ","98107"
"046410","1","6 CONDO UNITS","1","3","6","726","775","3","3","0","4","4","3","2003","2003","100","N","Y","Y","2","N","1","2427      NW 59TH                      ST      98107","2427 ","   ","NW","59TH                     ","ST  ","  ","98107"
"046570","1","6 CONDO UNITS","1","3","6","700","750","3","3","0","4","4","4","1981","1981","100","N","Y","Y","2","Y","1","1742      NW 56TH                      ST       ","1742 ","   ","NW","56TH                     ","ST  ","  "," "
"050500","1","69 UNIT CONDO","4","3","69","866","1950","3","3","0","4","4","4","1983","1983","100","N","N","Y","2","N","1","19851        25TH                      AVE  NE 98155","19851","   ","  ","25TH                     ","AVE ","NE","98155"
"051240","4","17 RES 8 COM'L + 22 PKG","2","7","15","1984","576","3","3","0","2","6","3","1994","1994","100","Y","Y"," ","2","N","1","80           VINE                      ST      98121","80   ","   ","  ","VINE                     ","ST  ","  ","98121"
"052000","3","retail/office","1","1","1","5672","3365","3","3","0","4","4","3","2000","2000","0","Y","Y","N","0","N","1","14           ROY                       ST      98109","14   ","   ","  ","ROY                      ","ST  ","  ","98109"
"054490","1","23 UNIT CONDO","1","3","23","876","783","2","3","0","4","4","4","1993","2005","100","Y","Y"," ","2","N","1","2000      W  BARRETT                   ST      98199","2000 ","   ","W ","BARRETT                  ","ST  ","  ","98199"
"056525","1"," ","3","3","34","767","1839","3","3","0","4","4","4","1986","1986","100","N","N"," ","1","Y","1","222       NE DOGWOOD                   ST      98027","222  ","   ","NE","DOGWOOD                  ","ST  ","  ","98027"
"058610","1","16 UNIT CONDO","1","6","16","1641","761","4","4","0","2","7","3","1997","1997","100","Y","Y","Y","2","N","1","1210         ALKI                      AVE  SW 98116","1210 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"058660","1","Four Residential Townhouse Units","1","2","4","1230","1665","4","3","0","4","4","3","2003","2003","100","N","N","Y","2","N","1","820          2ND                       AVE     98033","820  ","   ","  ","2ND                      ","AVE ","  ","98033"
"001230","4","78 RES + 6 COML UNITS","1","6","84","990","337","4","3","0","2","5","3","2001","2001","100","Y","Y","Y","2","Y","1","300          110TH                     AVE  NE 98004","300  ","   ","  ","110TH                    ","AVE ","NE","98004"
"005400","4","Flats + 3 COML UNITS","1","4","65","726","591","3","4","0","2","4","3","2002","2007","100","Y","Y","Y","2","N","1","2331         42ND                      AVE  SW ","2331 ","   ","  ","42ND                     ","AVE ","SW",""
"005480","1","Flats","2","3","7","737","892","3","3","0","4","5","3","1996","1996","100","N","N","Y","2","N","1","2116         CALIFORNIA                AVE  SW 98116","2116 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"006980","5","","1","7","126","634","0","3","3","0","4","4","3","2023","2023","30","Y","Y","N","2"," ","1","","     ","   ","","                         ","","",""
"009750","1","8 UNIT CONDO","1","4","8","869","840","3","3","0","4","4","4","1980","1988","100","N","Y","Y","2","N","1","3655         ALBION                    PL   N  98103","3655 ","   ","  ","ALBION                   ","PL  ","N ","98103"
"009850","1","CONDOMINIUM","2","3","30","885","2479","3","2","0","4","4","3","1979","1979","100","N","N","Y","2","N","1","2311      S  KENT-DES MOINES           RD      98198","2311 ","   ","S ","KENT-DES MOINES          ","RD  ","  ","98198"
"010325","1","4 UNIT CONDO","1","2","4","1200","1940","4","3","0","4","5","4","1997","1997","100","N","N","Y","2","Y","1","180       NW ALDER                     PL      98027","180  ","   ","NW","ALDER                    ","PL  ","  ","98027"
"013550","1","24 FLAT UNITS","1","4","24","1476","959","4","4","0","4","5","4","1989","1995","100","Y","Y","Y","2","Y","1","1564         ALKI                      AVE  SW 98116","1564 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"018650","3"," ","0","0","0","0","0","0","0","0","0","0","0","2004","2004","0"," "," "," ","0"," ","0","11        E  ALLISON                   ST      ","11   ","   ","E ","ALLISON                  ","ST  ","  ",""
"020040","1","4 BUILDINGS - 16 UNITS","4","2","16","1080","10375","3","3","0","4","3","4","1977","1977","100","N","N","Y","2","N","1","1801         M                         ST   NE 98002","1801 ","   ","  ","M                        ","ST  ","NE","98002"
"020780","1","DET SFR CONDO UNITS","3","3","3","2646","6615","4","3","0","4","5","3","2022","2023","100","N","N","Y","2","N","1","17051        8TH                       AVE  NE ","17051","   ","  ","8TH                      ","AVE ","NE",""
"020860","1","13 UNIT CONDO","1","5","13","1392","971","3","3","0","2","5","4","1990","1990","100","Y","Y","Y","2","N","1","619          5TH                       AVE  W  98119","619  ","   ","  ","5TH                      ","AVE ","W ","98119"
"024270","1","6 UNIT CONDO SITS ON ALLEY","1","3","6","925","833","3","3","0","4","4","3","1997","1997","100","N","Y","Y","2","N","1","3622         WHITMAN                   AVE  N  98103","3622 ","   ","  ","WHITMAN                  ","AVE ","N ","98103"
"024560","3","","1","1","5","1552","0","2","2","0","4","5","3","2011","2011","100"," "," "," ","0"," ","0","17265     SE WAX                       RD      ","17265","   ","SE","WAX                      ","RD  ","  ",""
"024740","1","2 Townhouses","1","2","2","1445","6524","4","3","0","4","4","3","1985","1985","100","N","Y"," ","2","N","1","2207      SE 8TH                       DR      98055","2207 ","   ","SE","8TH                      ","DR  ","  ","98055"
"024850","1","41 UNIT CONDO","10","2","41","668","2515","3","3","0","4","3","4","1979","1979","100","N","N"," ","1","N","1","14000        140TH                     AVE  SE 98005","14000","   ","  ","140TH                    ","AVE ","SE","98005"
"025137","1","FLATS & TOWNHOUSES","1","3","6","1063","1390","4","3","0","4","4","3","1994","1994","100","N","Y","Y","2","N","1","3824         BEACH                     DR   SW 98116","3824 ","   ","  ","BEACH                    ","DR  ","SW","98116"
