"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"260362","1","","1","0","3","1","0","1","0","0","4","4","3","2025","0","0"," "," "," ","0"," ","0","4337         30TH                      AVE  W  98199","4337 ","   ","  ","30TH                     ","AVE ","W ","98199"
"260405","1","","1","0","5","1","0","1","0","0","4","4","3","0","0","0"," "," "," ","0"," ","0","4843         42ND                      AVE  SW 98116","4843 ","   ","  ","42ND                     ","AVE ","SW","98116"
"260823","1","","1","0","2","1","0","1","0","0","4","4","3","0","0","0"," "," "," ","0"," ","0","4221      SW MYRTLE                    ST      98136","4221 ","   ","SW","MYRTLE                   ","ST  ","  ","98136"
"261665","1","5 UNIT CONDO","1","2","5","1984","2254","4","3","0","4","6","3","1991","1991","100","N","Y","Y","2","N","1","327          2ND                       AVE  S  98033","327  ","   ","  ","2ND                      ","AVE ","S ","98033"
"261724","1","","0","0","2","1","0","0","0","0","4","4","3","0","0","0"," "," "," ","0"," ","0","4724         37TH                      AVE  SW ","4724 ","   ","  ","37TH                     ","AVE ","SW",""
"261729","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","     ","   ","","                         ","","",""
"261731","1","FLATS","1","2","6","680","996","3","3","33","4","5","4","1967","1997","100","N","Y","Y","1","Y","1","416          FEDERAL                   AVE  E  98102","416  ","   ","  ","FEDERAL                  ","AVE ","E ","98102"
"261744","10","SFR+DADU","2","2","2","1895","2399","3","3","50","4","5","3","2019","2020","100","N","N","Y","2","N","1","454       N  39TH                      ST      ","454  ","   ","N ","39TH                     ","ST  ","  ",""
"261749","10","SFR and DADU","2","2","2","1658","2400","3","3","50","4","4","3","2021","2022","100","N","N","Y","2","N","1","418          14TH                      AVE     98122","418  ","   ","  ","14TH                     ","AVE ","  ","98122"
"261750","1","3-UNIT CONDOMINIUM","1","3","3","1951","2058","4","4","0","4","6","4","1960","1990","100","N","N","Y","2","Y","1","1400         11TH                      AVE  W  98119","1400 ","   ","  ","11TH                     ","AVE ","W ","98119"
"261767","1","2 Unit Condo","1","2","2","1566","3600","2","3","0","4","4","3","2001","2001","100","N","N","N","2","N","1","528          4TH                       AVE  S  98032","528  ","   ","  ","4TH                      ","AVE ","S ","98032"
"261778","10","SFR+LAND ONLY (FUTURE DADU)","1","1","2","1860","3039","4","3","0","4","4","3","2023","2023","50","N","N","Y","2","N","1","8016         14TH                      AVE  NW 98117","8016 ","   ","  ","14TH                     ","AVE ","NW","98117"
"261780","1","3 UNIT CONDO","1","3","3","1227","1293","3","3","0","4","5","3","1991","2001","100","N","N","Y","2","N","1","4702         9TH                       AVE  NE 98105","4702 ","   ","  ","9TH                      ","AVE ","NE","98105"
"261784","10","Det SFR + Vacant airspace unit","2","2","2","1411","2391","4","3","0","4","4","3","1940","1940","50","N","N","Y","2","N","1","4126         13TH                      AVE  S  ","4126 ","   ","  ","13TH                     ","AVE ","S ",""
"261788","3","1911 SFR-Rooming House + NEW CONGREGATE ","2","3","2","322","2140","3","3","0","4","6","5","1911","2017","0","N","N","Y","2","N","1","4726         8TH                       AVE  NE ","4726 ","   ","  ","8TH                      ","AVE ","NE",""
"261794","10","SFR+DADU","2","2","2","1410","3065","3","3","0","4","5","3","2024","2024","100","N","N","Y","2","N","1","4052         31ST                      AVE  W  9819","4052 ","   ","  ","31ST                     ","AVE ","W ","9819"
"261796","1","","0","0","3","1","0","0","0","0","4","4","3","2025","0","0"," "," "," ","0"," ","0","4555         12TH                      AVE  S  98108","4555 ","   ","  ","12TH                     ","AVE ","S ","98108"
"261800","10","SFR+DADU","2","2","2","2424","3757","3","3","0","4","6","3","2024","2024","100","N","N","Y","2","N","1","4563         PURDUE                    AVE  NE 98105","4563 ","   ","  ","PURDUE                   ","AVE ","NE","98105"
"262501","1","4  unit Condominium","1","2","4","1273","1247","4","3","0","4","4","3","2000","2000","100","N","N","Y","2","N","1","3652         FRANCIS                   AVE  N  98103","3652 ","   ","  ","FRANCIS                  ","AVE ","N ","98103"
"263480","1","6 UNIT CONDO","1","4","6","886","917","3","3","0","4","4","3","1967","1967","100","N","Y"," ","1","Y","1","2633         FRANKLIN                  AVE  E  98102","2633 ","   ","  ","FRANKLIN                 ","AVE ","E ","98102"
"263500","1","2 BLDGS - 17 UNIT CONDO","2","3","17","685","648","3","3","0","4","4","4","1985","1990","100","N","Y","Y","2","N","1","2827         FRANKLIN                  AVE  E  98102","2827 ","   ","  ","FRANKLIN                 ","AVE ","E ","98102"
"264610","1","2006 APT CONVERSION","1","3","7","501","754","3","3","0","3","5","5","1958","2001","100","N","N"," ","2","Y","1","461       N  45TH                      ST      98103","461  ","   ","N ","45TH                     ","ST  ","  ","98103"
"264690","1","3 Flats & 1 T/H","1","3","4","1226","1250","3","3","0","4","4","4","1987","2006","100","N","N","N","2","Y","1","3616         1ST                       AVE  NW 98107","3616 ","   ","  ","1ST                      ","AVE ","NW","98107"
"268380","1","10 UNIT CONDO","1","4","10","1274","1020","3","3","0","4","4","5","1974","1995","100","Y","Y","Y","2","N","1","2330      W  CROCKETT                  ST      98199","2330 ","   ","W ","CROCKETT                 ","ST  ","  ","98199"
"268390","2","8 Flats & 1 T/H","1","2","9","665","760","3","4","22","4","4","5","1957","1996","100","N","N","N","2","Y","1","1800      N  35TH                      ST      98103","1800 ","   ","N ","35TH                     ","ST  ","  ","98103"
"269680","1","6 UNIT CONDO","5","2","6","2072","4309","4","4","0","4","5","4","1993","1993","100","N","N"," ","2","Y","1","2550         6TH                       AVE  W  98119","2550 ","   ","  ","6TH                      ","AVE ","W ","98119"
"269780","1","Attached townhouses","4","2","10","1659","6945","3","3","0","4","4","4","1989","1990","100","N","N","Y","2","N","1","11520        114TH                     CT   NE 98033","11520","   ","  ","114TH                    ","CT  ","NE","98033"
"270330","1","GARFIELD VISTA CONDOMINIUM","2","3","5","1609","2160","3","3","0","4","4","4","1976","1994","100","N","N","Y","2","N","1","1530         10TH                      AVE  W  98119","1530 ","   ","  ","10TH                     ","AVE ","W ","98119"
"270870","3","BOAT SLIPS","1","1","68","0","0","5","4","100","0","4","3","1984","1984","100","N","Y"," ","1","N","2","2143      N  NORTHLAKE                 WAY     98103","2143 ","   ","N ","NORTHLAKE                ","WAY ","  ","98103"
"271620","1","7 TOWNHOUSE CONDO UNITS","3","2","7","1333","3238","2","3","0","4","5","3","1996","1996","100","N","N","N","2","N","1","20050        14TH                      AVE  NE 98155","20050","   ","  ","14TH                     ","AVE ","NE","98155"
"253909","10","DADU+TOWNHOUSES","2","2","3","1010","2262","3","3","0","4","4","3","2021","2021","100","N","N","N","2","N","1","1501      N  121ST                     ST      ","1501 ","   ","N ","121ST                    ","ST  ","  ",""
"253914","10","DET SFR + DADU","2","2","2","2080","3637","4","3","0","4","6","3","2022","2022","100","N","N","Y","2","N","1","1512         1ST                       AVE  W  ","1512 ","   ","  ","1ST                      ","AVE ","W ",""
"253922","1","Apts converted to Condos","1","3","3","1416","1667","3","3","0","4","4","4","1975","2010","100","N","Y","Y","2","Y","1","1527      NW 63RD                      ST      98107","1527 ","   ","NW","63RD                     ","ST  ","  ","98107"
"253935","10","SFR + DADU","2","2","2","586","2464","4","3","0","4","4","3","2021","2021","100","N","N","Y","2","N","1","5214         29TH                      AVE  NE ","5214 ","   ","  ","29TH                     ","AVE ","NE",""
"253938","10","SFR+AADU+DADU","2","3","3","1739","2560","4","4","0","4","6","3","2023","2023","100","N","N","N","2","N","1","5543      S  MORGAN                    ST      ","5543 ","   ","S ","MORGAN                   ","ST  ","  ",""
"253942","10","SFR + AADU + DADU","2","3","3","1303","1250","4","3","0","4","4","3","2024","2024","100","N","N","Y","2","N","1","5612         KEYSTONE                  PL   N  98103","5612 ","   ","  ","KEYSTONE                 ","PL  ","N ","98103"
"253948","10","SFR+DADU","2","2","2","1480","1025","4","3","0","4","4","3","2023","2023","75","N","N","Y","2","N","1","5116      S  BRIGHTON                  ST      98118","5116 ","   ","S ","BRIGHTON                 ","ST  ","  ","98118"
"253956","10","SFR+AADU+DADU","2","3","3","1505","1918","4","3","0","4","4","3","2024","2024","100","N","N","Y","2","N","1","4021         44TH                      AVE  SW 98116","4021 ","   ","  ","44TH                     ","AVE ","SW","98116"
"253962","1","","1","0","3","1","0","1","0","0","4","4","3","2025","0","0"," "," "," ","0"," ","0","5537         34TH                      AVE  NE 98105","5537 ","   ","  ","34TH                     ","AVE ","NE","98105"
"254075","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","     ","   ","","                         ","","",""
"255715","1","14 UNIT CONDO","2","2","14","1476","1900","2","3","0","4","5","3","1993","1993","100","N","N","Y","2","N","1","19523        FIRLANDS                  WAY  N  98133","19523","   ","  ","FIRLANDS                 ","WAY ","N ","98133"
"255940","10","SFR+DADU","2","2","2","1519","3870","4","3","0","4","4","3","2023","2023","100","N","N","Y","2","N","1","10756        1ST                       AVE  NW 98177","10756","   ","  ","1ST                      ","AVE ","NW","98177"
"256030","1","139 UNIT HIGHRISE CONDO","1","33","139","1387","221","3","4","0","1","7","3","1982","1990","100","Y","Y","N","2","N","3","1301         SPRING                    ST      98104","1301 ","   ","  ","SPRING                   ","ST  ","  ","98104"
"256985","1","7 UNIT CONDO","1","2","7","700","1097","3","3","15","4","4","5","1957","2007","100","N","N","Y","2","Y","1","510          LEE                       ST      98109","510  ","   ","  ","LEE                      ","ST  ","  ","98109"
"256987","10","Det SFRs+DADUs","3","2","6","850","1082","4","3","0","4","4","3","2023","2023","100","N","N","N","2","N","1","5930         44TH                      AVE  SW ","5930 ","   ","  ","44TH                     ","AVE ","SW",""
"256989","10","SFR+AADU+DADU","2","3","3","1546","1653","4","3","0","4","5","3","2021","2021","100","N","N","Y","2","N","1","536       N  67TH                      ST      ","536  ","   ","N ","67TH                     ","ST  ","  ",""
"256991","1","18 FLAT UNITS","1","5","18","1337","606","2","3","0","4","6","3","2003","2003","100","Y","Y","Y","2","N","1","511       W  MERCER                    PL      98119","511  ","   ","W ","MERCER                   ","PL  ","  ","98119"
